method,epsilon,alpha,steps,n_samples,accuracy,attack_success_rate,accuracy_drop_abs,accuracy_drop_pct
BIM,0.00784313725490196,0.00392156862745098,10.0,421,0.28028503562945367,0.7197149643705463,0.7197149643705463,71.97149643705463
BIM,0.01568627450980392,0.00392156862745098,10.0,421,0.0166270783847981,0.9833729216152018,0.9833729216152018,98.33729216152018
BIM,0.03137254901960784,0.00392156862745098,10.0,421,0.004750593824228029,0.995249406175772,0.995249406175772,99.5249406175772
FGSM,0.00784313725490196,,,421,0.9453681710213777,0.05463182897862233,0.05463182897862229,5.463182897862229
FGSM,0.01568627450980392,,,421,0.9477434679334917,0.052256532066508314,0.052256532066508266,5.2256532066508266
FGSM,0.03137254901960784,,,421,0.9619952494061758,0.03800475059382423,0.038004750593824244,3.8004750593824244
PGD,0.00784313725490196,0.00392156862745098,10.0,421,0.28741092636579574,0.7125890736342043,0.7125890736342042,71.25890736342042
PGD,0.01568627450980392,0.00392156862745098,10.0,421,0.011876484560570071,0.9881235154394299,0.9881235154394299,98.812351543943
PGD,0.03137254901960784,0.00392156862745098,10.0,421,0.0,1.0,1.0,100.0
