Атака,epsilon,Защита,Число ROI,Accuracy clean без защиты,Accuracy clean с защитой,Accuracy attack без защиты,Accuracy attack+defense,"Восстановление, п.п.","Потеря на clean, п.п.",Доля восстановленных среди сломанных,"Время защиты, мс/ROI","Инференс после защиты, мс/ROI"
BIM,2/255,Blur 3x3 + Quant 32,421,1.0,0.9976,0.2803,0.9549,67.46,0.24,0.9373,0.035,0.157
BIM,2/255,Blur 3x3 + Quant 64,421,1.0,1.0,0.2803,0.9501,66.98,0.0,0.9307,0.038,0.152
BIM,2/255,Blur 5x5 + Quant 32,421,1.0,0.9952,0.2803,0.9691,68.88,0.48,0.9571,0.034,0.152
BIM,2/255,Blur 5x5 + Quant 64,421,1.0,0.9929,0.2803,0.9691,68.88,0.71,0.9571,0.038,0.149
BIM,4/255,Blur 3x3 + Quant 32,421,1.0,0.9976,0.0166,0.9311,91.45,0.24,0.93,0.036,0.153
BIM,4/255,Blur 3x3 + Quant 64,421,1.0,1.0,0.0166,0.9002,88.36,0.0,0.8986,0.035,0.155
BIM,4/255,Blur 5x5 + Quant 32,421,1.0,0.9952,0.0166,0.9549,93.82,0.48,0.9541,0.037,0.151
BIM,4/255,Blur 5x5 + Quant 64,421,1.0,0.9929,0.0166,0.9477,93.11,0.71,0.9469,0.035,0.162
BIM,8/255,Blur 3x3 + Quant 32,421,1.0,0.9976,0.0048,0.8527,84.8,0.24,0.852,0.039,0.162
BIM,8/255,Blur 3x3 + Quant 64,421,1.0,1.0,0.0048,0.7648,76.01,0.0,0.7637,0.035,0.157
BIM,8/255,Blur 5x5 + Quant 32,421,1.0,0.9952,0.0048,0.9477,94.3,0.48,0.9475,0.036,0.169
BIM,8/255,Blur 5x5 + Quant 64,421,1.0,0.9929,0.0048,0.943,93.82,0.71,0.9427,0.035,0.159
PGD,2/255,Blur 3x3 + Quant 32,421,1.0,0.9976,0.2874,0.9572,66.98,0.24,0.94,0.035,0.155
PGD,2/255,Blur 3x3 + Quant 64,421,1.0,1.0,0.2874,0.9501,66.27,0.0,0.93,0.035,0.154
PGD,2/255,Blur 5x5 + Quant 32,421,1.0,0.9952,0.2874,0.9691,68.17,0.48,0.9567,0.035,0.162
PGD,2/255,Blur 5x5 + Quant 64,421,1.0,0.9929,0.2874,0.9715,68.41,0.71,0.96,0.035,0.157
PGD,4/255,Blur 3x3 + Quant 32,421,1.0,0.9976,0.0119,0.943,93.11,0.24,0.9423,0.038,0.159
PGD,4/255,Blur 3x3 + Quant 64,421,1.0,1.0,0.0119,0.9382,92.64,0.0,0.9375,0.036,0.162
PGD,4/255,Blur 5x5 + Quant 32,421,1.0,0.9952,0.0119,0.9667,95.49,0.48,0.9663,0.038,0.159
PGD,4/255,Blur 5x5 + Quant 64,421,1.0,0.9929,0.0119,0.962,95.01,0.71,0.9615,0.041,0.157
PGD,8/255,Blur 3x3 + Quant 32,421,1.0,0.9976,0.0,0.9192,91.92,0.24,0.9192,0.035,0.155
PGD,8/255,Blur 3x3 + Quant 64,421,1.0,1.0,0.0,0.9192,91.92,0.0,0.9192,0.034,0.153
PGD,8/255,Blur 5x5 + Quant 32,421,1.0,0.9952,0.0,0.9644,96.44,0.48,0.9644,0.035,0.161
PGD,8/255,Blur 5x5 + Quant 64,421,1.0,0.9929,0.0,0.9596,95.96,0.71,0.9596,0.035,0.155
